ROI	Subj1	Subj2	Y	Video	Subj1Group	Subj2Group	GroupStr	VideoType
Somatomotor	BSCMR008	BSCMR017	-0.256581	v2009	B	B	B_B	erotic
Dorsal_Attention	BSCMR008	BSCMR017	-0.187633	v2009	B	B	B_B	erotic
Ventral_Attention	BSCMR008	BSCMR017	-0.593277	v2009	B	B	B_B	erotic
Limbic	BSCMR008	BSCMR017	-0.265074	v2009	B	B	B_B	erotic
Frontoparietal	BSCMR008	BSCMR017	-0.282853	v2009	B	B	B_B	erotic
Default	BSCMR008	BSCMR017	-0.00933307	v2009	B	B	B_B	erotic
Visual	BSCMR008	BSCMR017	0.583043	v5000	B	B	B_B	neutral
Somatomotor	BSCMR008	BSCMR017	-0.460125	v5000	B	B	B_B	neutral
Dorsal_Attention	BSCMR008	BSCMR017	0.664614	v5000	B	B	B_B	neutral
Ventral_Attention	BSCMR008	BSCMR017	-0.494236	v5000	B	B	B_B	neutral
Limbic	BSCMR008	BSCMR017	0.207924	v5000	B	B	B_B	neutral
Frontoparietal	BSCMR008	BSCMR017	-0.500603	v5000	B	B	B_B	neutral
Default	BSCMR008	BSCMR017	-0.102658	v5000	B	B	B_B	neutral
Visual	BSCMR008	BSCMR017	0.377716	v5001	B	B	B_B	neutral
Somatomotor	BSCMR008	BSCMR017	-0.151907	v5001	B	B	B_B	neutral
Dorsal_Attention	BSCMR008	BSCMR017	-0.055546	v5001	B	B	B_B	neutral
Ventral_Attention	BSCMR008	BSCMR017	-0.236499	v5001	B	B	B_B	neutral
Limbic	BSCMR008	BSCMR017	-0.0199354	v5001	B	B	B_B	neutral
Frontoparietal	BSCMR008	BSCMR017	0.318993	v5001	B	B	B_B	neutral
Default	BSCMR008	BSCMR017	-0.159837	v5001	B	B	B_B	neutral
Visual	BSCMR008	BSCMR017	0.407661	v5002	B	B	B_B	neutral
Somatomotor	BSCMR008	BSCMR017	-0.0920024	v5002	B	B	B_B	neutral
Dorsal_Attention	BSCMR008	BSCMR017	-0.157451	v5002	B	B	B_B	neutral
Ventral_Attention	BSCMR008	BSCMR017	-0.39595	v5002	B	B	B_B	neutral
Limbic	BSCMR008	BSCMR017	-0.347278	v5002	B	B	B_B	neutral
